========================================
Critical Point Analysis (DIM=3)
========================================

p_c values from each run:
Run 1: 0.565657
Run 2: 0.585859
Run 3: 0.575758
Run 4: 0.575758
Run 5: 0.575758
Run 6: 0.565657
Run 7: 0.525253
Run 8: 0.575758
Run 9: 0.575758
Run 10: 0.565657
Run 11: 0.565657
Run 12: 0.555556
Run 13: 0.575758
Run 14: 0.555556
Run 15: 0.565657
Run 16: 0.565657
Run 17: 0.565657
Run 18: 0.575758
Run 19: 0.575758
Run 20: 0.575758
Run 21: 0.575758
Run 22: 0.565657
Run 23: 0.555556
Run 24: 0.575758
Run 25: 0.565657
Run 26: 0.555556
Run 27: 0.585859
Run 28: 0.565657
Run 29: 0.565657
Run 30: 0.565657
Run 31: 0.585859
Run 32: 0.565657
Run 33: 0.585859
Run 34: 0.565657
Run 35: 0.565657
Run 36: 0.575758
Run 37: 0.555556
Run 38: 0.575758
Run 39: 0.565657
Run 40: 0.575758
Run 41: 0.555556
Run 42: 0.555556
Run 43: 0.585859
Run 44: 0.565657
Run 45: 0.575758
Run 46: 0.575758
Run 47: 0.575758
Run 48: 0.575758
Run 49: 0.555556
Run 50: 0.565657

Average p_c: 0.568889
Standard deviation: 0.010774

========================================
Test Performance Metrics (DIM=3)
========================================

System: 3^2, p-range: 0.55-0.65
--------------------------------------------------
Run | Accuracy | Avg Perc | Avg Non-Perc
 45 | 0.7200 | 0.6344 | 0.5102
 46 | 0.8900 | 0.6614 | 0.4404
 47 | 0.7900 | 0.6060 | 0.4074
 48 | 0.7700 | 0.6878 | 0.5268
 49 | 0.7900 | 0.6482 | 0.5353
 50 | 0.8400 | 0.7010 | 0.5733

Summary Statistics:
Accuracy: 0.7852 ± 0.0477
Avg Perc: 0.6732 ± 0.0341
Avg Non-Perc: 0.5107 ± 0.0426
==================================================

System: 4^3, p-range: 0.55-0.65
--------------------------------------------------
Run | Accuracy | Avg Perc | Avg Non-Perc
----|----------|----------|------------
  1 | 0.8900 | 0.7815 | 0.2810
  2 | 0.8600 | 0.8099 | 0.3511
  3 | 0.8400 | 0.7905 | 0.3421
  4 | 0.7800 | 0.7937 | 0.3871
  5 | 0.8400 | 0.7926 | 0.4441
  6 | 0.8200 | 0.7061 | 0.2082
  7 | 0.7700 | 0.7579 | 0.4112
  8 | 0.8300 | 0.6558 | 0.2170
  9 | 0.9000 | 0.7636 | 0.2010
 10 | 0.8400 | 0.8116 | 0.4128
 11 | 0.8300 | 0.8086 | 0.3894
 12 | 0.8600 | 0.8213 | 0.3756
 13 | 0.8000 | 0.5406 | 0.1967
 14 | 0.7800 | 0.6765 | 0.2748
 15 | 0.8200 | 0.7308 | 0.3131
 16 | 0.6700 | 0.9021 | 0.6817
 17 | 0.8200 | 0.8298 | 0.4780
 18 | 0.8300 | 0.7991 | 0.4393
 19 | 0.8100 | 0.8432 | 0.4835
 20 | 0.7800 | 0.7136 | 0.3238
 21 | 0.8700 | 0.7294 | 0.2510
 22 | 0.9000 | 0.8034 | 0.3824
 23 | 0.7700 | 0.9172 | 0.6912
 24 | 0.8600 | 0.7499 | 0.2964
 25 | 0.7600 | 0.8778 | 0.5634
 26 | 0.7700 | 0.7821 | 0.4501
 27 | 0.8500 | 0.7265 | 0.2807
 28 | 0.8500 | 0.7835 | 0.3100
 29 | 0.8000 | 0.8371 | 0.4426
 30 | 0.8500 | 0.6610 | 0.1861
 31 | 0.8300 | 0.7214 | 0.2427
 32 | 0.8500 | 0.7798 | 0.3689
 33 | 0.8800 | 0.7453 | 0.2297
 34 | 0.8400 | 0.7209 | 0.2749
 35 | 0.8600 | 0.6939 | 0.3169
 36 | 0.8100 | 0.8184 | 0.5149
 37 | 0.8600 | 0.8141 | 0.4987
 38 | 0.8200 | 0.8099 | 0.4452
 39 | 0.7300 | 0.9000 | 0.6059
 40 | 0.8300 | 0.7917 | 0.3899
 41 | 0.8300 | 0.8227 | 0.4779
 42 | 0.9000 | 0.8261 | 0.4487
 43 | 0.7300 | 0.8954 | 0.6258
 44 | 0.8800 | 0.7999 | 0.3793
 45 | 0.8600 | 0.6972 | 0.2198
 46 | 0.7500 | 0.6384 | 0.2786
 47 | 0.8000 | 0.6312 | 0.2178
 48 | 0.8800 | 0.8402 | 0.4182
 49 | 0.8800 | 0.7143 | 0.3385
 50 | 0.8300 | 0.8164 | 0.5060

Summary Statistics:
Accuracy: 0.8260 ± 0.0481
Avg Perc: 0.7735 ± 0.0753
Avg Non-Perc: 0.3773 ± 0.1256
==================================================

System: 4^4, p-range: 0.55-0.65
--------------------------------------------------
Run | Accuracy | Avg Perc | Avg Non-Perc
----|----------|----------|------------
  1 | 0.9400 | 0.8912 | 0.0504
  2 | 0.9100 | 0.9102 | 0.1959
  3 | 0.9000 | 0.9143 | 0.2242
  4 | 0.9500 | 0.9170 | 0.1337
  5 | 0.9100 | 0.9634 | 0.2840
  6 | 0.8800 | 0.7834 | 0.0067
  7 | 0.9200 | 0.9518 | 0.1523
  8 | 0.8700 | 0.7184 | 0.0294
  9 | 0.9000 | 0.8027 | 0.0486
 10 | 0.8500 | 0.9556 | 0.3833
 11 | 0.9500 | 0.9243 | 0.1262
 12 | 0.9400 | 0.9150 | 0.1358
 13 | 0.7400 | 0.5266 | 0.0055
 14 | 0.9200 | 0.8125 | 0.0326
 15 | 0.9300 | 0.8655 | 0.0771
 16 | 0.7000 | 0.9673 | 0.8923
 17 | 0.8600 | 0.9648 | 0.3619
 18 | 0.8800 | 0.9440 | 0.2818
 19 | 0.8800 | 0.9240 | 0.3421
 20 | 0.9600 | 0.8871 | 0.0776
 21 | 0.9100 | 0.8216 | 0.0689
 22 | 0.9000 | 0.9299 | 0.2704
 23 | 0.6900 | 0.9843 | 0.8355
 24 | 0.9400 | 0.8662 | 0.0659
 25 | 0.7900 | 0.9831 | 0.5357
 26 | 0.8900 | 0.9243 | 0.2249
 27 | 0.9600 | 0.8442 | 0.0360
 28 | 0.9400 | 0.8727 | 0.0716
 29 | 0.9300 | 0.9491 | 0.2388
 30 | 0.8900 | 0.7478 | 0.0268
 31 | 0.9100 | 0.8223 | 0.0075
 32 | 0.8900 | 0.9586 | 0.2492
 33 | 0.9300 | 0.8277 | 0.0194
 34 | 0.9700 | 0.9131 | 0.0704
 35 | 0.9000 | 0.7988 | 0.0925
 36 | 0.8600 | 0.9639 | 0.3866
 37 | 0.8000 | 0.9516 | 0.4823
 38 | 0.8400 | 0.9491 | 0.3275
 39 | 0.7700 | 0.9708 | 0.6562
 40 | 0.9500 | 0.9267 | 0.1984
 41 | 0.8500 | 0.9488 | 0.3410
 42 | 0.8100 | 0.9381 | 0.4179
 43 | 0.7600 | 0.9732 | 0.7341
 44 | 0.9000 | 0.9508 | 0.2020
 45 | 0.9100 | 0.7951 | 0.0339
 46 | 0.9100 | 0.7782 | 0.0338
 47 | 0.8700 | 0.7214 | 0.0081
 48 | 0.8800 | 0.9383 | 0.2966
 49 | 0.9100 | 0.8159 | 0.1888
 50 | 0.8200 | 0.9177 | 0.4043

Summary Statistics:
Accuracy: 0.8814 ± 0.0650
Avg Perc: 0.8864 ± 0.0881
Avg Non-Perc: 0.2273 ± 0.2158
==================================================

System: 4^5, p-range: 0.55-0.65
--------------------------------------------------
Run | Accuracy | Avg Perc | Avg Non-Perc
----|----------|----------|------------
  1 | 0.9600 | 0.9254 | 0.0082
  2 | 0.9700 | 0.9790 | 0.0715
  3 | 0.9500 | 0.9819 | 0.1072
  4 | 0.9700 | 0.9843 | 0.0736
  5 | 0.8700 | 0.9816 | 0.2981
  6 | 0.9100 | 0.8209 | 0.0001
  7 | 0.9000 | 0.9754 | 0.2045
  8 | 0.8600 | 0.7312 | 0.0003
  9 | 0.9300 | 0.8684 | 0.0151
 10 | 0.9000 | 0.9852 | 0.2431
 11 | 0.9500 | 0.9673 | 0.1080
 12 | 0.9300 | 0.9720 | 0.1493
 13 | 0.8300 | 0.6391 | 0.0002
 14 | 0.9100 | 0.8607 | 0.0002
 15 | 0.9700 | 0.9185 | 0.0073
 16 | 0.6500 | 0.9756 | 0.9582
 17 | 0.8600 | 0.9800 | 0.3535
 18 | 0.9300 | 0.9820 | 0.1976
 19 | 0.8400 | 0.9595 | 0.3488
 20 | 0.9800 | 0.9618 | 0.0687
 21 | 0.9600 | 0.8889 | 0.0267
 22 | 0.9200 | 0.9812 | 0.1862
 23 | 0.6200 | 0.9897 | 0.8007
 24 | 1.0000 | 0.9613 | 0.0060
 25 | 0.7600 | 0.9903 | 0.6131
 26 | 0.9000 | 0.9739 | 0.2652
 27 | 0.9400 | 0.8588 | 0.0029
 28 | 0.9700 | 0.9427 | 0.0326
 29 | 0.8800 | 0.9736 | 0.2435
 30 | 0.9300 | 0.8698 | 0.0002
 31 | 0.9100 | 0.8106 | 0.0006
 32 | 0.9100 | 0.9928 | 0.1929
 33 | 0.9400 | 0.8812 | 0.0015
 34 | 0.9800 | 0.9220 | 0.0104
 35 | 0.9400 | 0.8329 | 0.0128
 36 | 0.8800 | 0.9777 | 0.2655
 37 | 0.7200 | 0.9742 | 0.5789
 38 | 0.8500 | 0.9851 | 0.3256
 39 | 0.7200 | 0.9808 | 0.7098
 40 | 0.9500 | 0.9746 | 0.1073
 41 | 0.9100 | 0.9762 | 0.2271
 42 | 0.8500 | 0.9693 | 0.3450
 43 | 0.6900 | 0.9792 | 0.7570
 44 | 0.8600 | 0.9845 | 0.2715
 45 | 0.9900 | 0.9305 | 0.0002
 46 | 0.9000 | 0.7804 | 0.0002
 47 | 0.8700 | 0.7899 | 0.0004
 48 | 0.9300 | 0.9790 | 0.1805
